	readingId	gaugeId	gaugeRevisionId	remarks	readingDate	readingHour	readingMinute	quality	rainAmount	snowDepth	snowAccumulation	createdDate	brand	model	description	gaugeType	gaugeTypeOther	lat	lng
0	1869889	7647	7647		2015-01-01	7	0	Poor	1.0			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
1	1860185	553	553	"10.5"" of powder. Time to ski!"	2015-01-01	7	0	Snow	0.45	6.5	10.0	2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
2	1860316	653	653	snow  snow  snow  cold night 	2015-01-01	7	0	Snow	0.5	10.5		2006-11-26				TruChek		35.1591394379	-111.6675120592
3	1864045	679	679		2015-01-01	7	0	Snow	0.44	10.25		2006-12-11				TruChek		35.1611787679	-111.6702318192
4	1865838	595	595		2015-01-01	7	0	Snow	0.46			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
5	1867936	680	680	"9.5"" snow.  Precipitation on 12/31/14 was identical to that on 12/30: 9.5 inches of snow and 0.46"" of water.  Cant get it to register on YTD."	2015-01-01	7	0	Good	0.0	19.0		2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1869890	7647	7647		2015-01-02	7	0	Absent				2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
1	1862556	553	553	Few snow flurries 	2015-01-02	7	0	Snow	0.02			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
2	1862301	653	653	some snow flurries cold 	2015-01-02	7	0	Snow	0.08	0.5		2006-11-26				TruChek		35.1591394379	-111.6675120592
3	1864046	679	679		2015-01-02	7	0	Snow	0.02			2006-12-11				TruChek		35.1611787679	-111.6702318192
4	1865839	595	595		2015-01-02	7	0	Snow	0.01			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
5	1863427	680	680	"0.5"" snow"	2015-01-02	7	0	Snow	0.01	0.5		2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1869891	7647	7647		2015-01-03	7	0	Absent				2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
1	1869353	553	553		2015-01-03	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
2	1863933	653	653	sunny chilly day  cold night 	2015-01-03	7	0	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
3	1864047	679	679		2015-01-03	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
4	1865840	595	595		2015-01-03	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
5	1863426	680	680		2015-01-03	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1863636	587	587		2015-01-04	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1869892	7647	7647		2015-01-04	7	0	Absent				2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1869354	553	553		2015-01-04	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1863932	653	653	sunny day  wind cold night 	2015-01-04	7	0	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
4	1864023	593	593	Out of town 12/28-1/. 0.44 water in gauge on return.	2015-01-04	7	0	Good	0.0			2006-10-28				TruChek		35.2333161912	-111.6689443588
