	Dominant_Topic	Topic_Keywords	Num_Documents	Perc_Documents
0	7.0	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm	32.0	0.0194
1	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact	107.0	0.0648
2	13.0	cool, night, day, light, overcast, warm, started, 3, 7, ended	114.0	0.069
3	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle	81.0	0.0491
4	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle	130.0	0.0787
5	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact	36.0	0.0218
6	6.0	cold, night, sunny, chilly, warmer, shower, cast, cleared, to109, 930	73.0	0.0442
7	11.0	sunny, night, warm, ytd, winter, wrm, ay, snowflake, trace, thunderstorm	93.0	0.0563
8	11.0	sunny, night, warm, ytd, winter, wrm, ay, snowflake, trace, thunderstorm	42.0	0.0254
9	2.0	cold, wind, strong, chilly, clearing, wam, return, 25, dustung, 025	109.0	0.066
10	3.0	day, cooler, night, warmer, big, flurry, water, icy, monday, stronger	130.0	0.0787
11	0.0	night, day, chilly, sunny, accumulation, cloudy, small, thin, clear, heavy	68.0	0.0412
12	2.0	cold, wind, strong, chilly, clearing, wam, return, 25, dustung, 025	40.0	0.0242
13	11.0	sunny, night, warm, ytd, winter, wrm, ay, snowflake, trace, thunderstorm	48.0	0.0291
14	11.0	sunny, night, warm, ytd, winter, wrm, ay, snowflake, trace, thunderstorm	42.0	0.0254
15	14.0	chilly, day, sunny, light, overnite, flurry, bit, march, lost, lt	34.0	0.0206
16	7.0	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm	67.0	0.0406
17	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle	106.0	0.0642
18	4.0	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow	46.0	0.0279
19	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact	104.0	0.063
20	7.0	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm	98.0	0.0594
21	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact	51.0	0.0309
22	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact		
23	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact		
24	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact		
25	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle		
26	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle		
27	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact		
28	11.0	sunny, night, warm, ytd, winter, wrm, ay, snowflake, trace, thunderstorm		
29	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle		
30	18.0	cool, night, cast, sun, water, catchment, underneath, horizontal, warn, partially		
31	0.0	night, day, chilly, sunny, accumulation, cloudy, small, thin, clear, heavy		
32	14.0	chilly, day, sunny, light, overnite, flurry, bit, march, lost, lt		
33	8.0	sunny, wind, chilly, total, reading, amount, quick, 2675, 930so, wedtu		
34	14.0	chilly, day, sunny, light, overnite, flurry, bit, march, lost, lt		
35	4.0	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow		
36	21.0	warm, day, sunny, chilly, wind, snowrain, 3, precipitation, monring, 225		
37	5.0	night, chilly, wind, shower, high, estimate, hot, yesterday, gloomy, independent		
38	18.0	cool, night, cast, sun, water, catchment, underneath, horizontal, warn, partially		
39	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
40	6.0	cold, night, sunny, chilly, warmer, shower, cast, cleared, to109, 930		
41	6.0	cold, night, sunny, chilly, warmer, shower, cast, cleared, to109, 930		
42	4.0	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow		
43	20.0	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel		
44	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
45	14.0	chilly, day, sunny, light, overnite, flurry, bit, march, lost, lt		
46	20.0	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel		
47	4.0	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow		
48	20.0	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel		
49	21.0	warm, day, sunny, chilly, wind, snowrain, 3, precipitation, monring, 225		
50	5.0	night, chilly, wind, shower, high, estimate, hot, yesterday, gloomy, independent		
51	15.0	sunny, wind, day, shower, colder, slightly, blowing, feel, historyjust, round		
52	21.0	warm, day, sunny, chilly, wind, snowrain, 3, precipitation, monring, 225		
53	20.0	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel		
54	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
55	0.0	night, day, chilly, sunny, accumulation, cloudy, small, thin, clear, heavy		
56	8.0	sunny, wind, chilly, total, reading, amount, quick, 2675, 930so, wedtu		
57	15.0	sunny, wind, day, shower, colder, slightly, blowing, feel, historyjust, round		
58	18.0	cool, night, cast, sun, water, catchment, underneath, horizontal, warn, partially		
59	3.0	day, cooler, night, warmer, big, flurry, water, icy, monday, stronger		
60	15.0	sunny, wind, day, shower, colder, slightly, blowing, feel, historyjust, round		
61	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
62	8.0	sunny, wind, chilly, total, reading, amount, quick, 2675, 930so, wedtu		
63	8.0	sunny, wind, chilly, total, reading, amount, quick, 2675, 930so, wedtu		
64	8.0	sunny, wind, chilly, total, reading, amount, quick, 2675, 930so, wedtu		
65	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
66	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
67	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
68	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
69	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
70	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
71	12.0	day, night, warm, humidity, lot, higher, melted, period, mixmostly, creating		
72	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact		
73	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle		
74	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
75	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact		
76	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle		
77	2.0	cold, wind, strong, chilly, clearing, wam, return, 25, dustung, 025		
78	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact		
79	5.0	night, chilly, wind, shower, high, estimate, hot, yesterday, gloomy, independent		
80	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
81	13.0	cool, night, day, light, overcast, warm, started, 3, 7, ended		
82	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
83	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact		
84	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
85	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle		
86	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact		
87	5.0	night, chilly, wind, shower, high, estimate, hot, yesterday, gloomy, independent		
88	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle		
89	7.0	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm		
90	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle		
91	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle		
92	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle		
93	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle		
94	4.0	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow		
95	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle		
96	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle		
97	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact		
98	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact		
99	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle		
100	0.0	night, day, chilly, sunny, accumulation, cloudy, small, thin, clear, heavy		
101	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle		
102	15.0	sunny, wind, day, shower, colder, slightly, blowing, feel, historyjust, round		
103	21.0	warm, day, sunny, chilly, wind, snowrain, 3, precipitation, monring, 225		
104	0.0	night, day, chilly, sunny, accumulation, cloudy, small, thin, clear, heavy		
105	6.0	cold, night, sunny, chilly, warmer, shower, cast, cleared, to109, 930		
106	2.0	cold, wind, strong, chilly, clearing, wam, return, 25, dustung, 025		
107	14.0	chilly, day, sunny, light, overnite, flurry, bit, march, lost, lt		
108	15.0	sunny, wind, day, shower, colder, slightly, blowing, feel, historyjust, round		
109	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
110	5.0	night, chilly, wind, shower, high, estimate, hot, yesterday, gloomy, independent		
111	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
112	0.0	night, day, chilly, sunny, accumulation, cloudy, small, thin, clear, heavy		
113	8.0	sunny, wind, chilly, total, reading, amount, quick, 2675, 930so, wedtu		
114	3.0	day, cooler, night, warmer, big, flurry, water, icy, monday, stronger		
115	4.0	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow		
116	4.0	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow		
117	4.0	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow		
118	6.0	cold, night, sunny, chilly, warmer, shower, cast, cleared, to109, 930		
119	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
120	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
121	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
122	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
123	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
124	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
125	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
126	14.0	chilly, day, sunny, light, overnite, flurry, bit, march, lost, lt		
127	20.0	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel		
128	21.0	warm, day, sunny, chilly, wind, snowrain, 3, precipitation, monring, 225		
129	20.0	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel		
130	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
131	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
132	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
133	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
134	14.0	chilly, day, sunny, light, overnite, flurry, bit, march, lost, lt		
135	3.0	day, cooler, night, warmer, big, flurry, water, icy, monday, stronger		
136	2.0	cold, wind, strong, chilly, clearing, wam, return, 25, dustung, 025		
137	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
138	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact		
139	6.0	cold, night, sunny, chilly, warmer, shower, cast, cleared, to109, 930		
140	5.0	night, chilly, wind, shower, high, estimate, hot, yesterday, gloomy, independent		
141	2.0	cold, wind, strong, chilly, clearing, wam, return, 25, dustung, 025		
142	8.0	sunny, wind, chilly, total, reading, amount, quick, 2675, 930so, wedtu		
143	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
144	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
145	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact		
146	13.0	cool, night, day, light, overcast, warm, started, 3, 7, ended		
147	4.0	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow		
148	2.0	cold, wind, strong, chilly, clearing, wam, return, 25, dustung, 025		
149	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact		
150	0.0	night, day, chilly, sunny, accumulation, cloudy, small, thin, clear, heavy		
151	13.0	cool, night, day, light, overcast, warm, started, 3, 7, ended		
152	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
153	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
154	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
155	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
156	5.0	night, chilly, wind, shower, high, estimate, hot, yesterday, gloomy, independent		
157	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact		
158	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
159	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact		
160	4.0	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow		
161	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
162	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
163	6.0	cold, night, sunny, chilly, warmer, shower, cast, cleared, to109, 930		
164	18.0	cool, night, cast, sun, water, catchment, underneath, horizontal, warn, partially		
165	13.0	cool, night, day, light, overcast, warm, started, 3, 7, ended		
166	20.0	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel		
167	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
168	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
169	13.0	cool, night, day, light, overcast, warm, started, 3, 7, ended		
170	13.0	cool, night, day, light, overcast, warm, started, 3, 7, ended		
171	12.0	day, night, warm, humidity, lot, higher, melted, period, mixmostly, creating		
172	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
173	2.0	cold, wind, strong, chilly, clearing, wam, return, 25, dustung, 025		
174	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact		
175	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle		
176	7.0	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm		
177	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle		
178	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact		
179	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
180	21.0	warm, day, sunny, chilly, wind, snowrain, 3, precipitation, monring, 225		
181	15.0	sunny, wind, day, shower, colder, slightly, blowing, feel, historyjust, round		
182	4.0	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow		
183	2.0	cold, wind, strong, chilly, clearing, wam, return, 25, dustung, 025		
184	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle		
185	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle		
186	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact		
187	1.0	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact		
188	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle		
189	20.0	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel		
190	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
191	19.0	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle		
192	20.0	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel		
193	11.0	sunny, night, warm, ytd, winter, wrm, ay, snowflake, trace, thunderstorm		
194	15.0	sunny, wind, day, shower, colder, slightly, blowing, feel, historyjust, round		
195	6.0	cold, night, sunny, chilly, warmer, shower, cast, cleared, to109, 930		
196	4.0	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow		
197	3.0	day, cooler, night, warmer, big, flurry, water, icy, monday, stronger		
198	4.0	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow		
199	20.0	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel		
200	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
201	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
202	14.0	chilly, day, sunny, light, overnite, flurry, bit, march, lost, lt		
203	11.0	sunny, night, warm, ytd, winter, wrm, ay, snowflake, trace, thunderstorm		
204	4.0	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow		
205	11.0	sunny, night, warm, ytd, winter, wrm, ay, snowflake, trace, thunderstorm		
206	11.0	sunny, night, warm, ytd, winter, wrm, ay, snowflake, trace, thunderstorm		
207	21.0	warm, day, sunny, chilly, wind, snowrain, 3, precipitation, monring, 225		
208	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
209	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
210	9.0	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing		
211	7.0	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm		
212	4.0	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow		
213	8.0	sunny, wind, chilly, total, reading, amount, quick, 2675, 930so, wedtu		
214	21.0	warm, day, sunny, chilly, wind, snowrain, 3, precipitation, monring, 225		
215	4.0	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow		
216	3.0	day, cooler, night, warmer, big, flurry, water, icy, monday, stronger		
217	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
218	5.0	night, chilly, wind, shower, high, estimate, hot, yesterday, gloomy, independent		
219	5.0	night, chilly, wind, shower, high, estimate, hot, yesterday, gloomy, independent		
220	13.0	cool, night, day, light, overcast, warm, started, 3, 7, ended		
221	20.0	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel		
222	17.0	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130		
223	17.0	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130		
224	17.0	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130		
225	17.0	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130		
226	17.0	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130		
227	17.0	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130		
228	3.0	day, cooler, night, warmer, big, flurry, water, icy, monday, stronger		
229	3.0	day, cooler, night, warmer, big, flurry, water, icy, monday, stronger		
230	16.0	day, warm, night, cool, smoke, 4, hour, controlled, passed, rainwet		
231	17.0	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130		
232	3.0	day, cooler, night, warmer, big, flurry, water, icy, monday, stronger		
233	7.0	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm		
234	20.0	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel		
235	20.0	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel		
236	17.0	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130		
237	7.0	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm		
238	7.0	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm		
239	7.0	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm		
240	7.0	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm		
241	7.0	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm		
242	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
243	18.0	cool, night, cast, sun, water, catchment, underneath, horizontal, warn, partially		
244	20.0	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel		
245	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
246	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
247	4.0	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow		
248	17.0	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130		
249	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
250	7.0	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm		
251	7.0	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm		
252	17.0	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130		
253	12.0	day, night, warm, humidity, lot, higher, melted, period, mixmostly, creating		
254	17.0	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130		
255	17.0	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130		
256	20.0	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel		
257	4.0	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow		
258	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
259	20.0	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel		
260	18.0	cool, night, cast, sun, water, catchment, underneath, horizontal, warn, partially		
261	20.0	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel		
262	17.0	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130		
263	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
264	18.0	cool, night, cast, sun, water, catchment, underneath, horizontal, warn, partially		
265	16.0	day, warm, night, cool, smoke, 4, hour, controlled, passed, rainwet		
266	10.0	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total		
