	Document_No	Dominant_Topic	Topic_Perc_Contrib	Keywords
0	0	7.0	0.0627	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm
1	1	1.0	0.0797	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
2	2	13.0	0.0784	cool, night, day, light, overcast, warm, started, 3, 7, ended
3	3	19.0	0.0693	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
4	4	19.0	0.0722	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
5	5	1.0	0.0565	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
6	6	6.0	0.0534	cold, night, sunny, chilly, warmer, shower, cast, cleared, to109, 930
7	7	11.0	0.0555	sunny, night, warm, ytd, winter, wrm, ay, snowflake, trace, thunderstorm
8	8	11.0	0.0604	sunny, night, warm, ytd, winter, wrm, ay, snowflake, trace, thunderstorm
9	9	2.0	0.0555	cold, wind, strong, chilly, clearing, wam, return, 25, dustung, 025
10	10	3.0	0.0615	day, cooler, night, warmer, big, flurry, water, icy, monday, stronger
11	11	0.0	0.0534	night, day, chilly, sunny, accumulation, cloudy, small, thin, clear, heavy
12	12	2.0	0.0606	cold, wind, strong, chilly, clearing, wam, return, 25, dustung, 025
13	13	11.0	0.0575	sunny, night, warm, ytd, winter, wrm, ay, snowflake, trace, thunderstorm
14	14	11.0	0.0555	sunny, night, warm, ytd, winter, wrm, ay, snowflake, trace, thunderstorm
15	15	14.0	0.0565	chilly, day, sunny, light, overnite, flurry, bit, march, lost, lt
16	16	7.0	0.0511	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm
17	17	19.0	0.075	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
18	18	4.0	0.0743	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow
19	19	1.0	0.075	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
20	20	7.0	0.0668	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm
21	21	1.0	0.0629	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
22	22	1.0	0.0565	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
23	23	1.0	0.1311	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
24	24	1.0	0.0918	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
25	25	19.0	0.0736	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
26	26	19.0	0.0651	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
27	27	1.0	0.0779	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
28	28	11.0	0.0608	sunny, night, warm, ytd, winter, wrm, ay, snowflake, trace, thunderstorm
29	29	19.0	0.0676	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
30	30	18.0	0.0555	cool, night, cast, sun, water, catchment, underneath, horizontal, warn, partially
31	31	0.0	0.0544	night, day, chilly, sunny, accumulation, cloudy, small, thin, clear, heavy
32	32	14.0	0.0544	chilly, day, sunny, light, overnite, flurry, bit, march, lost, lt
33	33	8.0	0.0524	sunny, wind, chilly, total, reading, amount, quick, 2675, 930so, wedtu
34	34	14.0	0.0534	chilly, day, sunny, light, overnite, flurry, bit, march, lost, lt
35	35	4.0	0.0574	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow
36	36	21.0	0.0617	warm, day, sunny, chilly, wind, snowrain, 3, precipitation, monring, 225
37	37	5.0	0.0595	night, chilly, wind, shower, high, estimate, hot, yesterday, gloomy, independent
38	38	18.0	0.0555	cool, night, cast, sun, water, catchment, underneath, horizontal, warn, partially
39	39	10.0	0.0584	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
40	40	6.0	0.0575	cold, night, sunny, chilly, warmer, shower, cast, cleared, to109, 930
41	41	6.0	0.0585	cold, night, sunny, chilly, warmer, shower, cast, cleared, to109, 930
42	42	4.0	0.0555	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow
43	43	20.0	0.0555	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
44	44	9.0	0.0676	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
45	45	14.0	0.0555	chilly, day, sunny, light, overnite, flurry, bit, march, lost, lt
46	46	20.0	0.075	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
47	47	4.0	0.0608	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow
48	48	20.0	0.0533	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
