	Dominant_Topic	Topic_Keywords	Num_Documents	Perc_Documents
0	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted	425.0	0.0314
1	7.0	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49	856.0	0.0632
2	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted	412.0	0.0304
3	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted	846.0	0.0624
4	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted	636.0	0.0469
5	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted	992.0	0.0732
6	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted	900.0	0.0664
7	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted	628.0	0.0463
8	3.0	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°	765.0	0.0564
9	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted	613.0	0.0452
10	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted	833.0	0.0615
11	1.0	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog	746.0	0.055
12	11.0	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle	305.0	0.0225
13	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted	572.0	0.0422
14	11.0	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle	262.0	0.0193
15	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted	639.0	0.0472
16	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted	310.0	0.0229
17	9.0	low, temp, degree, inch, nw, davis, tb, coco, 002, 39	451.0	0.0333
18	4.0	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27	635.0	0.0469
19	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted	660.0	0.0487
20	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted	481.0	0.0355
21	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted	585.0	0.0432
22	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
23	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
24	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
25	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
26	11.0	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle		
27	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
28	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
29	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
30	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
31	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
32	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
33	11.0	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle		
34	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
35	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
36	5.0	minute, hour, 9, 10, 45, 24, period, 67, 71, 72		
37	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
38	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
39	7.0	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49		
40	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
41	4.0	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27		
42	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
43	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
44	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
45	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
46	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
47	2.0	light, sprinkle, rain, early, pm, falling, continued, ended, 0530, 0500		
48	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
49	1.0	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog		
50	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
51	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
52	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
53	10.0	total, day, rainfall, amount, nearby, absent, station, reading, based, 95		
54	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
55	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
56	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
57	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
58	10.0	total, day, rainfall, amount, nearby, absent, station, reading, based, 95		
59	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
60	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
61	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
62	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
63	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
64	21.0	raining, time, reading, started, 7am, rained, read, hard, sprinkling, stopped		
65	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
66	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
