	Document_No	Dominant_Topic	Topic_Perc_Contrib	Keywords
0	0	18.0	0.2516	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
1	1	7.0	0.0743	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49
2	2	18.0	0.0806	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
3	3	18.0	0.0785	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
4	4	18.0	0.0856	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
5	5	18.0	0.0769	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
6	6	18.0	0.0791	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
7	7	18.0	0.0942	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
8	8	3.0	0.0806	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°
9	9	18.0	0.0629	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
10	10	18.0	0.0996	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
11	11	1.0	0.0629	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog
12	12	11.0	0.0629	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle
13	13	18.0	0.0758	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
14	14	11.0	0.0597	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle
15	15	18.0	0.0642	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
16	16	18.0	0.0617	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
17	17	9.0	0.0791	low, temp, degree, inch, nw, davis, tb, coco, 002, 39
18	18	4.0	0.0676	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27
19	19	18.0	0.0822	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
20	20	18.0	0.0777	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
21	21	18.0	0.0806	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
22	22	18.0	0.0764	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
23	23	18.0	0.1699	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
24	24	18.0	0.0871	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
25	25	18.0	0.0822	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
26	26	11.0	0.0875	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle
27	27	18.0	0.0629	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
28	28	18.0	0.0629	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
29	29	18.0	0.0642	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
30	30	18.0	0.0902	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
31	31	18.0	0.0715	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
32	32	18.0	0.0731	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
33	33	11.0	0.0757	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle
34	34	18.0	0.0928	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
35	35	18.0	0.068	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
36	36	5.0	0.0942	minute, hour, 9, 10, 45, 24, period, 67, 71, 72
37	37	18.0	0.0886	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
38	38	18.0	0.0629	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
39	39	7.0	0.0629	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49
